GalaxyID,SPARC_Q,Radius_kpc,R_over_Rmax,R_over_Rdisk,V_obs_kms,V_obs_err_kms,V_bary_kms,V_RT_kms,V_NFW_kms,V_MondFixed_kms,V_MondFree_kms,Resid_RT_kms,Resid_NFW_kms,Resid_MondFixed_kms,Resid_MondFree_kms
CamB,2,0.16,0.0894,0.3404,1.99,1.5,3.239,3.414,3.7572,9.1793,6.8227,-1.424,-1.7672,-7.1893,-4.8327
CamB,2,0.41,0.2291,0.8723,4.84,1.5,7.9258,8.3623,8.481,18.4885,13.962,-3.5223,-3.641,-13.6485,-9.122
CamB,2,0.57,0.3184,1.2128,6.79,1.5,10.031,10.6277,10.6361,22.6693,17.1763,-3.8377,-3.8461,-15.8793,-10.3863
CamB,2,0.73,0.4078,1.5532,8.87,1.5,11.8301,12.5817,12.4809,26.2492,19.9293,-3.7117,-3.6109,-17.3792,-11.0593
CamB,2,0.9,0.5028,1.9149,10.9,1.5,13.0343,13.9449,13.753,29.0205,22.0249,-3.0449,-2.853,-18.1205,-11.1249
CamB,2,1.06,0.5922,2.2553,12.9,1.5,13.688,14.7434,14.4832,30.925,23.4323,-1.8434,-1.5832,-18.025,-10.5323
CamB,2,1.22,0.6816,2.5957,14.7,1.5,13.7407,14.9362,14.6382,31.9808,24.1566,-0.2362,0.0618,-17.2808,-9.4566
CamB,2,1.47,0.8212,3.1277,16.8,1.5,13.8453,15.2512,14.8934,33.4937,25.2045,1.5488,1.9066,-16.6937,-8.4045
CamB,2,1.79,1.0,3.8085,20.1,1.5,12.6056,14.2666,13.9545,33.2988,24.8729,5.8334,6.1455,-13.1988,-4.7729
D512-2,2,0.96,0.2507,0.7742,22.9,2.71,11.2653,23.1961,23.9683,27.1683,23.1381,-0.2961,-1.0683,-4.2683,-0.2381
D512-2,2,1.92,0.5013,1.5484,33.5,2.71,16.2375,33.256,32.3793,38.824,33.0776,0.244,1.1207,-5.324,0.4224
D512-2,2,2.88,0.752,2.3226,37.2,4.19,16.3358,36.1743,36.194,42.7282,36.27,1.0257,1.006,-5.5282,0.93
D512-2,2,3.83,1.0,3.0887,35.9,5.98,16.3417,37.957,38.8457,45.6535,38.6657,-2.057,-2.9457,-9.7535,-2.7657
D564-8,2,0.51,0.1661,0.8361,8.54,1.53,5.6803,9.4728,11.1571,16.233,12.0591,-0.9328,-2.6171,-7.693,-3.5191
