GalaxyID,SPARC_Q,Clean_Sample,Luminosity_1e9Lsun,R_disk_kpc,SB_disk_magarcsec2,V_flat_kms,N_pts,RT_omega_kms_kpc,RT_omega_err_kms_kpc,RT_Rt_kpc,RT_Rt_err_kpc,RT_BIC,RT_RMSE_kms,RT_chi2,RT_chi2r,RT_converged,NFW_c,NFW_c_err,NFW_V200_kms,NFW_V200_err_kms,NFW_BIC,NFW_RMSE_kms,NFW_chi2,NFW_chi2r,NFW_converged,MondFree_a0_kms2_kpc,MondFree_a0_err_kms2_kpc,MondFree_BIC,MondFree_RMSE_kms,MondFree_chi2,MondFree_chi2r,MondFree_converged,Free_MOND_Boundary,MondFixed_a0_kms2_kpc,MondFixed_BIC,MondFixed_RMSE_kms,MondFixed_chi2,MondFixed_chi2r,MondFixed_converged,Delta_BIC_NFW_RT,BIC_Winner
CamB,2,True,0.075,0.47,66.2,0.0,9,1.113497,2.086144,8.95,127.16765,45.323908,3.198807,52.623594,5.847066,True,1.0,11.561958,12.144611,79.137482,47.177399,3.270434,42.78295,6.11185,True,1000.0,119.972421,337.435036,9.15475,335.237811,41.904726,True,True,3703.0,976.410538,15.623784,976.410538,108.49006,True,1.853491,rational_taper
D512-2,2,True,0.325,1.24,93.94,0.0,4,20.785488,11.850475,1.427526,1.374536,2.970875,1.165172,0.396572,0.099143,True,6.510753,5.169807,40.025027,26.84321,3.399306,1.738284,0.626717,0.313359,True,1794.941292,446.517469,1.681473,1.478941,0.295178,0.098393,True,False,3703.0,10.741094,6.562264,10.741094,2.685273,True,0.428431,mond_free
D564-8,2,True,0.033,0.61,21.13,0.0,6,8.022627,2.057109,6.46755,6.351037,4.282406,0.578257,1.048332,0.174722,True,1.0,6.979917,96.17519,450.359157,7.383651,1.255582,3.800132,0.950033,True,1000.0,164.193332,10.794635,1.950007,9.002876,1.800575,True,True,3703.0,109.994826,7.164354,109.994826,18.332471,True,3.101245,rational_taper
D631-7,1,True,0.196,0.7,115.04,57.7,16,6.80122,0.609087,35.95,27.93324,49.978488,3.489755,50.780928,3.173808,True,1.0,3.13623,222.641214,471.41024,91.950549,4.788836,86.405371,6.171812,True,1531.79615,93.242922,210.378596,8.949037,207.606007,13.8404,True,False,3703.0,484.607252,10.522118,484.607252,30.287953,True,41.972061,rational_taper
DDO064,1,True,0.157,0.69,151.65,46.1,14,25.713959,9.882182,1.506292,1.098994,9.059213,2.606736,4.411288,0.315092,True,1.0,33.957731,360.757187,8551.219285,11.907687,3.369943,6.629572,0.552464,True,2913.840378,516.583217,6.344618,2.677575,3.705561,0.285043,True,False,3703.0,5.665704,3.548572,5.665704,0.404693,True,2.848474,mond_fixed
DDO154,2,True,0.053,0.37,71.26,47.0,12,15.524704,0.553103,3.250104,0.219907,38.77826,1.512859,40.57014,3.380845,True,4.958198,0.334213,62.766269,3.567536,122.681894,2.914858,117.712081,11.771208,True,2757.675969,27.085708,109.406999,2.676408,106.922093,9.72019,True,False,3703.0,1084.392156,4.452187,1084.392156,90.366013,True,83.903634,rational_taper
DDO161,1,True,0.548,1.22,169.37,66.3,31,4.74568,0.274415,18.755134,2.981061,20.07464,1.638516,14.117462,0.455402,True,1.991842,0.376932,104.120064,13.412915,40.18705,2.74233,33.319076,1.148934,True,1106.661102,23.733202,102.023727,4.526582,98.58974,3.286325,True,False,3703.0,4662.942963,18.570332,4662.942963,150.417515,True,20.11241,rational_taper
DDO168,2,True,0.191,1.02,92.22,53.4,10,9.783938,0.899281,20.6,16.175847,56.592328,3.641504,64.98395,6.498395,True,1.0,7.611008,324.252303,1710.769147,90.47254,4.393511,85.86737,10.733421,True,1896.194938,107.293744,134.051157,5.504615,131.748572,14.63873,True,False,3703.0,305.172139,7.88031,305.172139,30.517214,True,33.880212,rational_taper
DDO170,2,True,0.543,1.95,73.93,60.0,8,14.008866,1.888751,2.9124,0.536485,20.397583,1.980477,21.6516,2.70645,True,5.620275,0.580277,54.675137,2.908929,17.128209,2.659373,12.969326,2.161554,True,1327.722146,45.788338,34.655882,2.418095,32.576441,4.653777,True,False,3703.0,1225.321977,14.370862,1225.321977,153.165247,True,-3.269374,nfw
ESO079-G014,1,True,51.733,5.08,2295.25,175.0,15,13.729907,1.429072,9.303252,1.648962,34.942086,7.861483,34.06845,2.27123,True,4.533902,0.841808,225.782282,35.243505,54.911497,9.555321,49.495397,3.807338,True,4685.961382,131.15548,48.104785,9.720213,45.396734,3.242624,True,False,3703.0,111.060621,11.397003,111.060621,7.404041,True,19.969411,rational_taper
