GalaxyID,N_pts,Luminosity_1e9Lsun,R_disk_kpc,Sigma_0,Linear_omega,Linear_omega_err,Linear_RMSE,Linear_chi2r,Linear_BIC,Linear_converged,Tapered_omega,Tapered_omega_err,Tapered_Rt,Tapered_Rt_err,Tapered_RMSE,Tapered_chi2r,Tapered_BIC,Tapered_converged,Delta_BIC,Preferred_Model,Fit_Flag,Flag_Vobs_lt_Vbary
CamB,9,0.075000,0.470000,54036309.334052,1.087493,0.478219,3.157099,4.983637,42.066317,True,1.113497,2.086144,8.950000,127.167650,3.198807,5.847066,45.323908,True,-3.257591,Linear,OK,True
D512-2,4,0.325000,1.240000,33640320.307535,7.649365,0.813763,5.505734,2.046812,7.526729,True,20.785488,11.850475,1.427526,1.374536,1.165172,0.099143,2.970875,True,4.555854,Tapered,OK,False
D564-8,6,0.033000,0.610000,14114789.363162,5.908969,0.386604,1.185629,0.498165,4.282583,True,8.022627,2.057109,6.467550,6.351037,0.578257,0.174722,4.282406,True,0.000177,Indistinguishable,OK,False
D631-7,16,0.196000,0.700000,63661977.236758,6.052644,0.148655,3.188664,2.357179,38.130269,True,6.801220,0.609087,35.950000,27.933240,3.489755,3.173808,49.978488,True,-11.848219,Linear,OK,True
DDO064,14,0.157000,0.690000,52483356.575147,11.537224,0.883183,5.007009,0.784421,12.836528,True,25.713959,9.882182,1.506292,1.098994,2.606736,0.315092,9.059213,True,3.777315,Tapered,OK,False
DDO154,12,0.053000,0.370000,61615865.477505,7.210355,0.027360,5.455923,85.867456,947.026926,True,15.524704,0.553103,3.250104,0.219907,1.512859,3.380845,38.778260,True,908.248667,Tapered,OK,False
DDO161,31,0.548000,1.220000,58597761.901612,2.997670,0.028040,2.282883,3.166899,98.440966,True,4.745680,0.274415,18.755134,2.981061,1.638516,0.455402,20.074640,True,78.366326,Tapered,OK,False
DDO168,10,0.191000,1.020000,29218179.671811,8.667336,0.219642,3.995752,5.717440,53.759544,True,9.783938,0.899281,20.600000,16.175847,3.641504,6.498395,56.592328,True,-2.832783,Linear,OK,False
DDO170,8,0.543000,1.950000,22727451.439553,3.348746,0.049858,6.994671,40.473286,285.392447,True,14.008866,1.888751,2.912400,0.536485,1.980477,2.706450,20.397583,True,264.994863,Tapered,OK,False
ESO079-G014,15,51.733000,5.080000,319051191.602588,5.489801,0.072227,15.142758,10.714590,152.712307,True,13.729907,1.429072,9.303252,1.648962,7.861483,2.271230,34.942086,True,117.770221,Tapered,OK,False
ESO116-G012,15,4.292000,1.510000,299589060.019479,8.081047,0.116784,10.148432,11.175101,159.159469,True,19.399333,1.670189,5.229059,0.797198,3.023007,1.204030,21.068487,True,138.090981,Tapered,OK,False
ESO444-G084,7,0.071000,0.460000,53402651.037451,14.292112,0.325231,8.883465,10.600398,65.548297,True,34.386283,4.484330,2.013721,0.467419,1.441565,0.879955,8.291595,True,57.256702,Tapered,OK,False
ESO563-G021,30,311.177000,5.450000,1667380110.310806,5.472741,0.071219,38.785795,50.588158,1470.457770,True,19.132154,0.800433,10.739479,0.725835,20.546516,12.944765,369.255824,True,1101.201946,Tapered,OK,True
F561-1,6,4.077000,2.790000,83358988.577441,1.226085,0.326589,5.705869,1.561012,9.596820,True,97.497636,2012.274278,0.100000,2.104423,4.103994,0.676896,6.291101,True,3.305718,Tapered,OK,False
F563-1,17,1.903000,3.520000,24444074.178709,4.894965,0.232213,25.743850,5.915672,97.483967,True,31.294740,6.991004,2.780460,0.799675,8.235777,0.829154,18.103738,True,79.380229,Tapered,OK,False
F563-V1,6,1.540000,3.790000,17063276.666239,0.718302,0.399840,3.323050,0.530048,4.441999,True,46.378325,1049.158812,0.100000,2.329187,2.057600,0.254023,4.599611,True,-0.157613,Indistinguishable,OK,False
F563-V2,10,2.986000,2.430000,80481745.681112,10.971569,0.795068,29.299471,4.020987,38.491469,True,45.759327,12.730044,2.129331,0.860440,8.666521,0.520210,8.766850,True,29.724619,Tapered,OK,False
F565-V2,7,0.559000,2.170000,18893502.344150,6.941091,0.404245,7.539471,1.361689,10.116046,True,16.527417,6.632855,5.179477,3.684518,2.905528,0.164332,4.713479,True,5.402567,Tapered,OK,False
F567-2,5,2.134000,3.080000,35802480.240988,3.730323,0.512602,10.826790,2.946223,13.394330,True,32.399738,60.598624,0.826724,1.812100,5.338307,0.899542,5.917502,True,7.476828,Tapered,OK,False
F568-1,12,6.252000,5.180000,37083403.057890,9.766307,0.468535,25.533034,4.218256,48.885719,True,37.659419,9.535507,2.910639,1.058059,7.827818,0.503454,10.004350,True,38.881369,Tapered,OK,False
F568-3,18,8.346000,4.990000,53345454.638534,5.655140,0.265875,17.563326,4.655811,82.039158,True,11.757436,1.370790,8.989801,2.325927,7.697960,1.649987,32.180543,True,49.858615,Tapered,OK,False
F568-V1,15,3.825000,2.850000,74948311.151308,9.768823,0.421163,33.949342,10.407669,148.415412,True,66.704327,25.454280,1.334203,0.645673,7.332377,0.258385,8.775109,True,139.640303,Tapered,OK,False
